"nombre";"ultimoClub";"nuevoClub";"coste";"mercado";"IDF";"ID"
"Yoshinori Muto";"1.FSV Mainz 05";"Newcastle Utd.";10700000;"VERANO";158;228717
"Suat Serdar";"1.FSV Mainz 05";"FC Schalke 04";10500000;"VERANO";159;230065
"Giuliano";"Fenerbahce";"Nasr";10500000;"VERANO";160;184942
"Marc Bartra";"Bor. Dortmund";"Real Betis";10500000;"INVIERNO";161;198141
"Wout Weghorst";"AZ Alkmaar";"VfL Wolfsburg";10500000;"VERANO";162;223689
"Odsonne Edouard";"Paris SG";"Celtic FC";10300000;"VERANO";163;233866
"Djaniny";"Santos Laguna";"Ahli";10240000;"VERANO";164;205427
"Jordan Hugill";"Preston NE";"West Ham Utd.";10200000;"INVIERNO";165;220862
"Bernardo";"RB Leipzig";"Brighton";10000000;"VERANO";166;204347
"Leonardo Pavoletti";"SSC Napoli";"Cagliari";10000000;"VERANO";167;205850
"Borja Iglesias";"Celta de Vigo";"Espanyol";10000000;"VERANO";168;224179
"Diego Falcinelli";"Sassuolo";"FC Bologna";10000000;"VERANO";169;193077
"Omar Mascarell";"Real Madrid";"FC Schalke 04";10000000;"VERANO";170;208620
"Vitinho";"CSKA Moscú";"Flamengo";10000000;"VERANO";171;237369
"Adama Diakhaby";"Monaco";"Huddersfield";10000000;"VERANO";172;234924
"Francesco Acerbi";"Sassuolo";"Lazio";10000000;"VERANO";173;199845
"Jordan Amavi";"Aston Villa";"Marseille";10000000;"VERANO";174;219681
"Pelé";"Rio Ave FC";"Monaco";10000000;"VERANO";175;194020
"Antonio Barreca";"Torino";"Monaco";10000000;"VERANO";176;220493
"Danilo";"Braga";"OGC Nice";10000000;"VERANO";177;216283
"Myziane Maolida";"Olymp. Lyonnais";"OGC Nice";10000000;"VERANO";178;234333
"Diafra Sakho";"West Ham Utd.";"Rennes";10000000;"INVIERNO";179;193554
"Federico Di Francesco";"FC Bologna";"Sassuolo";10000000;"VERANO";180;213814
"Soualiho Meïté";"Monaco";"Torino";10000000;"VERANO";181;205391
"Santiago Cáseres";"Vélez Sarsfield";"Villarreal CF";10000000;"VERANO";182;236527
"Davide Santon";"Inter de Milán";"AS Roma";9500000;"VERANO";183;189484
"Patrik Schick";"UC Sampdoria";"AS Roma";9000000;"VERANO";184;234236
"Lukasz Skorupski";"AS Roma";"FC Bologna";9000000;"VERANO";186;189908
"Antonino La Gumina";"US Palermo";"FC Empoli";9000000;"VERANO";187;228378
"Riccardo Saponara";"FC Empoli";"Fiorentina";9000000;"VERANO";188;201046
"Germán Pezzella";"Real Betis";"Fiorentina";9000000;"VERANO";189;193601
"Fedor Smolov";"Krasnodar";"Loko Moskva";9000000;"VERANO";190;187491
"Jordan Siebatcheu";"Reims";"Rennes";9000000;"VERANO";191;227558
"Khouma Babacar";"Fiorentina";"Sassuolo";9000000;"VERANO";192;197231
"Pablo Maffeo";"Man City U23";"VfB Stuttgart";9000000;"VERANO";193;221342
"Ramiro Funes Mori";"Everton";"Villarreal CF";9000000;"VERANO";194;199667
"Nikola Vukcevic";"Braga";"Levante UD";8900000;"VERANO";195;221016
"Guido Pizarro";"Sevilla FC";"Tigres UANL";8700000;"VERANO";196;207939
"Robin Olsen";"FC Copenhague";"AS Roma";8500000;"VERANO";199;207557
"Alban Lafont";"Toulouse";"Fiorentina";8500000;"VERANO";200;231691
"Samuel Kalu";"KAA Gent";"G. Bordeaux";8500000;"VERANO";201;237207
"Nordin Amrabat";"Watford";"Nasr";8500000;"VERANO";202;183108
"Aleix Vidal";"FC Barcelona";"Sevilla FC";8500000;"VERANO";204;202493
"Hassane Bandé";"KV Mechelen";"AFC Ajax";8250000;"VERANO";206;239718
"Jean-Philippe Mateta";"Olymp. Lyonnais";"1.FSV Mainz 05";8000000;"VERANO";207;236461
"Gabriel";"CD Leganés";"Benfica";8000000;"VERANO";208;232580
"Fran Beltrán";"Rayo Vallecano";"Celta de Vigo";8000000;"VERANO";209;235997
"Sergi Darder";"Olymp. Lyonnais";"Espanyol";8000000;"VERANO";210;202648
"Mattéo Guendouzi";"FC Lorient";"FC Arsenal";8000000;"VERANO";211;236496
"Anthony Limbombe";"Club Brugge";"FC Nantes";8000000;"VERANO";212;201938
"Aden Flint";"Bristol City";"Middlesbrough";8000000;"VERANO";214;202408
"Tanguy Ndombélé";"SC Amiens";"Olymp. Lyonnais";8000000;"VERANO";215;235569
"Rafik Guitane";"AC Le Havre";"Rennes";8000000;"INVIERNO";216;235955
"Bubacarr Sanneh";"Midtjylland";"RSC Anderlecht";8000000;"VERANO";217;220302
"Samuel Gigot";"KAA Gent";"Spartak Moskva";8000000;"VERANO";218;219581
"Sofiane Hanni";"RSC Anderlecht";"Spartak Moskva";8000000;"INVIERNO";219;188536
"Kasim Adams";"BSC Young Boys";"TSG Hoffenheim";8000000;"VERANO";221;225673
"Ignacio Pussetto";"Huracán";"Udinese Calcio";8000000;"VERANO";222;219536
"Cristiano Piccini";"Sporting CP";"Valencia CF";8000000;"VERANO";223;201939
"Admir Mehmedi";"Bay. Leverkusen";"VfL Wolfsburg";8000000;"INVIERNO";224;188770
"Lukasz Fabianski";"Swansea City";"West Ham Utd.";8000000;"VERANO";225;164835
"Stuart Armstrong";"Celtic FC";"FC Southampton";7950000;"VERANO";226;202282
"Patrick Bamford";"Middlesbrough";"Leeds";7900000;"VERANO";227;206534
"Omar Colley";"KRC Genk";"UC Sampdoria";7750000;"VERANO";228;226536
"Pierre Kunde Malong";"Atlético Madrid";"1.FSV Mainz 05";7500000;"VERANO";229;240190
"Andrea Favilli";"Ascoli";"Juventus";7500000;"VERANO";230;226468
"Valon Berisha";"RB Salzburg";"Lazio";7500000;"VERANO";231;191783
"Sam Johnstone";"Man Utd.";"West Brom";7350000;"VERANO";233;206075
"Oghenekaro Etebo";"Feirense";"Stoke City";7200000;"VERANO";234;234457
"Jonny Castro";"Celta de Vigo";"Atlético Madrid";7000000;"VERANO";236;210455
"Martín Montoya";"Valencia CF";"Brighton";7000000;"VERANO";237;194644
"Néstor Araujo";"Santos Laguna";"Celta de Vigo";7000000;"VERANO";238;192041
"Paulinho";"Portimonense";"FC Porto";7000000;"VERANO";239;192165
"Salif Sané";"Hannover 96";"FC Schalke 04";7000000;"VERANO";240;201956
"Hamza Mendyl";"LOSC Lille";"FC Schalke 04";7000000;"VERANO";241;238346
"Federico Dimarco";"FC Sion";"Inter de Milán";7000000;"VERANO";242;226268
"Pol Lirola";"Juventus";"Sassuolo";7000000;"INVIERNO";244;235875
"Tomas Vaclik";"FC Basel";"Sevilla FC";7000000;"VERANO";245;204120
"Wahbi Khazri";"AFC Sunderland";"St-Étienne";7000000;"VERANO";246;194845
"Marcel Tisserand";"FC Ingolstadt";"VfL Wolfsburg";7000000;"VERANO";248;216247
"Carlos Bacca";"AC Milan";"Villarreal CF";7000000;"VERANO";249;207664
"Milot Rashica";"Vitesse";"Werder Bremen";7000000;"INVIERNO";250;229167
"Nicolás Castillo";"UNAM Pumas";"Benfica";6850000;"VERANO";251;212878
"Gary Madine";"Bolton";"Cardiff";6800000;"INVIERNO";252;184707
"Lewis Grabban";"Bournemouth";"Nottm Forest";6800000;"VERANO";253;172960
"Joe Bryan";"Bristol City";"FC Fulham";6700000;"VERANO";254;203505
"Federico Fernández";"Swansea City";"Newcastle Utd.";6700000;"VERANO";255;201988
"Sam Clucas";"Swansea City";"Stoke City";6700000;"VERANO";256;193884
"Lucas Castro";"Chievo Verona";"Cagliari";6500000;"VERANO";258;205633
"Valentino Lazaro";"RB Salzburg";"Hertha Berlin";6500000;"VERANO";260;211147
"Ramadan Sobhi";"Stoke City";"Huddersfield";6500000;"VERANO";261;233601
"Riza Durmisi";"Real Betis";"Lazio";6500000;"VERANO";262;211385
"Jason Denayer";"Manchester City";"Olymp. Lyonnais";6500000;"VERANO";263;220182
"Raphinha";"Vit. Guimarães";"Sporting CP";6500000;"VERANO";264;233419
"Ronaldo Vieira";"Leeds";"UC Sampdoria";6500000;"VERANO";265;233943
"Raúl Ruidíaz";"Morelia";"Sounders FC";6360000;"VERANO";266;204538
"Raphael Dwamena";"FC Zürich";"Levante UD";6200000;"VERANO";267;239907
"Moritz Bauer";"Rubin Kazan";"Stoke City";6200000;"INVIERNO";268;204904
"Moussa Niakhaté";"FC Metz";"1.FSV Mainz 05";6000000;"VERANO";269;225859
"Zakaria Labyad";"FC Utrecht";"AFC Ajax";6000000;"VERANO";270;198640
